CUST_NO_y,VTG,AGETIER
3401378.4,11-15 th,51-65 th
3397929.8,11-15 th,31-40 th
3697192.4,11-15 th,31-40 th
3768752.6,11-15 th,31-40 th
3801168.0,11-15 th,31-40 th
3906528.6,11-15 th,21-30 th
3907084.0,11-15 th,31-40 th
4008782.0,11-15 th,31-40 th
4249713.6,11-15 th,31-40 th
4246231.4,11-15 th,21-30 th
4248013.8,11-15 th,21-30 th
4312102.8,6-10 th,31-40 th
4315992.8,6-10 th,31-40 th
4279790.0,6-10 th,31-40 th
4356765.0,6-10 th,31-40 th
4331168.6,6-10 th,31-40 th
4477821.8,6-10 th,21-30 th
4473363.8,6-10 th,21-30 th
4531776.4,6-10 th,41-50 th
4511458.2,6-10 th,21-30 th
4575098.8,6-10 th,31-40 th
4588359.0,6-10 th,21-30 th
4674644.2,6-10 th,21-30 th
4725938.8,6-10 th,21-30 th
4716592.2,6-10 th,31-40 th
4702916.0,6-10 th,31-40 th
4784722.6,6-10 th,21-30 th
4829853.6,6-10 th,21-30 th
4894098.4,6-10 th,31-40 th
4972043.0,6-10 th,31-40 th
4954775.2,6-10 th,31-40 th
4945300.4,6-10 th,21-30 th
4948747.2,6-10 th,31-40 th
5008855.0,6-10 th,21-30 th
4976756.8,6-10 th,21-30 th
5017690.2,6-10 th,21-30 th
5021136.8,6-10 th,21-30 th
5085059.8,6-10 th,31-40 th
5074457.6,6-10 th,21-30 th
5076775.0,6-10 th,21-30 th
5101882.6,6-10 th,31-40 th
5176016.2,6-10 th,21-30 th
5147909.2,6-10 th,41-50 th
5146951.2,6-10 th,31-40 th
5215059.4,6-10 th,31-40 th
5186066.6,6-10 th,21-30 th
5188265.8,6-10 th,21-30 th
5195471.6,6-10 th,31-40 th
5187539.8,6-10 th,21-30 th
5261696.4,6-10 th,31-40 th
5262525.8,6-10 th,21-30 th
5254994.8,6-10 th,21-30 th
5248229.4,6-10 th,21-30 th
5262224.4,6-10 th,41-50 th
5251414.0,6-10 th,21-30 th
5232539.6,6-10 th,21-30 th
5301711.2,6-10 th,31-40 th
5294139.0,6-10 th,41-50 th
5292799.0,6-10 th,21-30 th
5270547.2,6-10 th,41-50 th
5326946.2,6-10 th,21-30 th
5340793.8,6-10 th,21-30 th
5325505.0,6-10 th,31-40 th
5325893.0,6-10 th,31-40 th
5308612.4,6-10 th,21-30 th
5378232.2,6-10 th,21-30 th
5403269.2,6-10 th,21-30 th
5384231.6,11-15 th,41-50 th
5400219.2,6-10 th,21-30 th
5444805.4,6-10 th,21-30 th
5494277.6,6-10 th,21-30 th
5460800.8,6-10 th,31-40 th
5521072.2,6-10 th,41-50 th
5522587.2,6-10 th,21-30 th
5530103.0,6-10 th,21-30 th
5510430.8,6-10 th,41-50 th
